DATE,remainder
1970-06-23,5.4582455299508545
1970-06-24,5.258173823553367
1970-06-25,3.1581021171558774
1970-06-26,2.858030410758392
1970-06-27,5.757958704360902
1970-06-28,7.95788699796341
1970-06-29,-2.0421847084340747
1970-06-30,-0.3422564148315672
1970-07-01,-3.651182251034495
1970-07-02,-5.551253957431987
1970-07-03,-4.351325663829474
1970-07-04,-4.151397370226963
1970-07-05,-2.6514690766244513
1970-07-06,0.4484592169780619
1970-07-07,4.248387510580571
1970-07-08,6.4483158041830855
1970-07-09,3.8482440977855923
1970-07-10,-0.15182760861189593
1970-07-11,0.248100684990618
1970-07-12,1.048028978593127
1970-07-13,3.947957272195641
1970-07-14,-0.5521144342018509
1970-07-15,-5.752186140599337
1970-07-16,-3.7522578469968284
1970-07-17,-3.3523295533943163
